id;quantidade;data;tamanho;valor
1;26303;2021-02-04;indexing;32488
2;43324;2021-02-04;Solutions deposit firewall;68700
3;42274;2021-02-04;Home Loan Account Iraqi Dinar Shirt;40171
4;82390;2021-02-04;Open-architected;40248
5;56653;2021-02-04;flexibility;66583
6;7411;2021-02-04;Representative white deposit;91977
7;68672;2021-02-04;Personal Loan Account neural;38824
8;39384;2021-02-04;Interactions Fantastic Fresh Table;54766
9;53299;2021-02-04;Mobility Handmade Metal Shirt;77905
10;81049;2021-02-04;programming Berkshire invoice;54677
