id;tipo;composicao;fio
1;IB white Unbranded;Cambridgeshire quantifying;Montana
2;Forward Gorgeous Cotton Tuna;Licensed;Seamless
3;turn-key Director hack;Metrics Global;PNG Frozen firmware
4;zero administration regional foreground;B2B Quetzal France;transmit Concrete Wooden
5;envisioneer even-keeled Metal;Cambridgeshire;integrated red Operations
6;Operations Security uniform;Total Rustic Plastic Pants JBOD;Paradigm
7;Ridge Licensed Austria;open system bypassing;Ethiopian Birr
8;Ergonomic Rubber Chicken Drive Fresh;Outdoors Fantastic e-business;deposit New Taiwan Dollar Intelligent
9;multi-tasking Kroon;Outdoors Generic Steel Pants withdrawal;matrix
10;value-added EXE Grocery;Keyboard 1080p Investment Account;withdrawal
