id;id_materia_prima;id_produto;nome;descricao;status;etapa
1;87797;30059;SMS generating Shoes;Sleek back-end;FINALIZADO;DISTRIBUICAO_VAREJO
2;10250;60077;Nevada programming;Direct;ANDAMENTO;DISTRIBUICAO_VAREJO
3;66356;69191;pixel Identity;grey Fresh;FINALIZADO;CONFECCAO
4;43646;87583;generate;Analyst;ANDAMENTO;TEXTIL
5;50539;99728;Pakistan;Brunei Darussalam reintermediate;FINALIZADO;DISTRIBUICAO_VAREJO
6;92747;30542;Steel Rhode Island;Outdoors Dalasi Multi-channelled;ANDAMENTO;FIBRA_FILAMENTO
7;62809;68490;Consultant Metal SCSI;solution-oriented dot-com;FINALIZADO;DISTRIBUICAO_VAREJO
8;22423;72483;Chief Investment Account;digital white;ANDAMENTO;CONFECCAO
9;51160;43468;Walks deliver users;communities;FINALIZADO;FIBRA_FILAMENTO
10;68096;57426;generating Money Market Account target;Personal Loan Account Security;FINALIZADO;DISTRIBUICAO_VAREJO
