id;referencia;nome;cores;insumo
1;Specialist;COM Dynamic Strategist;Consultant Savings Account Antarctica (the territory South of 60 deg S);override
2;SSL;Saint Helena Pound Customizable National;hard drive Home Loan Account 1080p;Cliff
3;withdrawal Tanzanian Shilling;parse withdrawal Cambridgeshire;Borders;Centralized XML
4;Peru;Technician Customer encoding;target;Intelligent grey overriding
5;Executive;Steel;Savings Account;networks
6;Computers transmitting Handmade Granite Salad;Incredible Steel Salad Sports;e-business connecting zero defect;calculating one-to-one
7;Won;navigating backing up;Avon Product networks;payment indexing
8;integrated;Handmade Cotton Shoes Bedfordshire;virtual;East Caribbean Dollar Metal knowledge base
9;Global Ball;tan;Handmade Soft Shoes Bedfordshire SDD;incentivize experiences Auto Loan Account
10;Handcrafted;Mountains capability;client-server Configuration Vatu;holistic Integration Borders
